wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
394707,286187,0.004413793103448276,0.011448275862068966,0.009,113888,85302,125217.39130434781
404048,278531,0.004413793103448276,0.011448275862068966,0.012,113620,75962,125217.39130434781
411292,265007,0.004413793103448276,0.011448275862068966,0.015,116316,68717,125217.39130434781
384795,295837,0.004413793103448276,0.01186206896551724,0.006,113955,95211,122033.89830508473
396078,299956,0.004413793103448276,0.01186206896551724,0.009,108847,83925,122033.89830508473
404970,286398,0.004413793103448276,0.01186206896551724,0.012,110147,75038,122033.89830508473
412192,289446,0.004413793103448276,0.01186206896551724,0.015,107475,67814,122033.89830508473
386625,282983,0.004413793103448276,0.012275862068965518,0.006,114866,93385,119008.26446280991
397630,291163,0.004413793103448276,0.012275862068965518,0.009,109856,82379,119008.26446280991
406099,286290,0.004413793103448276,0.012275862068965518,0.012,109150,73908,119008.26446280991
413082,279819,0.004413793103448276,0.012275862068965518,0.015,109478,66920,119008.26446280991
388348,302091,0.004413793103448276,0.012689655172413793,0.006,109413,91653,116129.03225806453
398878,300481,0.004413793103448276,0.012689655172413793,0.009,106190,81132,116129.03225806453
407265,282862,0.004413793103448276,0.012689655172413793,0.012,109034,72737,116129.03225806453
414024,297687,0.004413793103448276,0.012689655172413793,0.015,102925,65976,116129.03225806453
389804,301380,0.004413793103448276,0.01310344827586207,0.006,107981,90204,113385.82677165353
400150,294067,0.004413793103448276,0.01310344827586207,0.009,106543,79860,113385.82677165353
408161,298297,0.004413793103448276,0.01310344827586207,0.012,103523,71848,113385.82677165353
414804,297092,0.004413793103448276,0.01310344827586207,0.015,102178,65204,113385.82677165353
391476,306158,0.004413793103448276,0.013517241379310345,0.006,105432,88534,110769.23076923078
401328,303556,0.004413793103448276,0.013517241379310345,0.009,103037,78682,110769.23076923078
409305,305635,0.004413793103448276,0.013517241379310345,0.012,100325,70702,110769.23076923078
415633,298074,0.004413793103448276,0.013517241379310345,0.015,100947,64377,110769.23076923078
392856,323534,0.004413793103448276,0.01393103448275862,0.006,100605,87152,108270.67669172933
402437,313666,0.004413793103448276,0.01393103448275862,0.009,99317,77566,108270.67669172933
410156,303915,0.004413793103448276,0.01393103448275862,0.012,99692,69854,108270.67669172933
416345,309994,0.004413793103448276,0.01393103448275862,0.015,96488,63663,108270.67669172933
394523,329205,0.004413793103448276,0.014344827586206896,0.006,98207,85487,105882.35294117646
403589,311926,0.004413793103448276,0.014344827586206896,0.009,98789,76420,105882.35294117646
411102,315818,0.004413793103448276,0.014344827586206896,0.012,95507,68898,105882.35294117646
417179,308725,0.004413793103448276,0.014344827586206896,0.015,96008,62829,105882.35294117646
395749,305957,0.004413793103448276,0.014758620689655172,0.006,101332,84259,103597.12230215827
404741,315696,0.004413793103448276,0.014758620689655172,0.009,96707,75268,103597.12230215827
412124,315770,0.004413793103448276,0.014758620689655172,0.012,94697,67883,103597.12230215827
418006,308713,0.004413793103448276,0.014758620689655172,0.015,95224,61994,103597.12230215827
397118,314108,0.004413793103448276,0.015172413793103448,0.006,98569,82891,101408.45070422534
405980,316556,0.004413793103448276,0.015172413793103448,0.009,95340,74027,101408.45070422534
412844,325198,0.004413793103448276,0.015172413793103448,0.012,90987,67165,101408.45070422534
418699,305906,0.004413793103448276,0.015172413793103448,0.015,95283,61310,101408.45070422534
398406,334612,0.004413793103448276,0.015586206896551724,0.006,93273,81602,99310.3448275862
406895,322002,0.004413793103448276,0.015586206896551724,0.009,93063,73113,99310.3448275862
413752,319937,0.004413793103448276,0.015586206896551724,0.012,91734,66257,99310.3448275862
419359,323308,0.004413793103448276,0.015586206896551724,0.015,89326,60650,99310.3448275862
399721,321396,0.004413793103448276,0.016,0.006,94645,80285,97297.2972972973
407945,324042,0.004413793103448276,0.016,0.009,91509,72065,97297.2972972973
414679,320166,0.004413793103448276,0.016,0.012,90879,65331,97297.2972972973
420139,324184,0.004413793103448276,0.016,0.015,88345,59871,97297.2972972973
323565,88289,0.004827586206896552,0.004,0.006,224105,156440,246093.75
349942,56380,0.004827586206896552,0.004,0.009,228446,130060,246093.75
368749,61408,0.004827586206896552,0.004,0.012,223462,111251,246093.75
382686,70544,0.004827586206896552,0.004,0.015,217738,97323,246093.75
327766,109975,0.004827586206896552,0.004413793103448276,0.006,213356,152238,235074.62686567166
353005,91774,0.004827586206896552,0.004413793103448276,0.009,213229,127005,235074.62686567166
370983,73390,0.004827586206896552,0.004413793103448276,0.012,216361,109020,235074.62686567166
384278,66497,0.004827586206896552,0.004413793103448276,0.015,216930,95726,235074.62686567166
331844,108891,0.004827586206896552,0.004827586206896552,0.006,209854,148158,225000.0
355702,100110,0.004827586206896552,0.004827586206896552,0.009,207379,124307,225000.0
373080,99092,0.004827586206896552,0.004827586206896552,0.012,204531,106927,225000.0
