charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.004,0.010612244897959183,0.015,122788,60857,123184.35754189946
0.004,0.010857142857142857,0.006,118601,86399,121153.84615384617
0.004,0.010857142857142857,0.009,114608,75527,121153.84615384617
0.004,0.010857142857142857,0.012,120427,67042,121153.84615384617
0.004,0.010857142857142857,0.015,120736,60238,121153.84615384617
0.004,0.011102040816326531,0.006,112881,85407,119189.1891891892
0.004,0.011102040816326531,0.009,118964,74743,119189.1891891892
0.004,0.011102040816326531,0.012,116387,66393,119189.1891891892
0.004,0.011102040816326531,0.015,118274,59717,119189.1891891892
0.004,0.011346938775510204,0.006,116761,84421,117287.23404255323
0.004,0.011346938775510204,0.009,117027,74016,117287.23404255323
0.004,0.011346938775510204,0.012,114922,65891,117287.23404255323
0.004,0.011346938775510204,0.015,116918,59299,117287.23404255323
0.004,0.011591836734693876,0.006,112819,83275,115445.02617801049
0.004,0.011591836734693876,0.009,111609,73105,115445.02617801049
0.004,0.011591836734693876,0.012,114934,65311,115445.02617801049
0.004,0.011591836734693876,0.015,114718,58892,115445.02617801049
0.004,0.01183673469387755,0.006,111192,82418,113659.79381443298
0.004,0.01183673469387755,0.009,110002,72424,113659.79381443298
0.004,0.01183673469387755,0.012,112985,64712,113659.79381443298
0.004,0.01183673469387755,0.015,111718,58419,113659.79381443298
0.004,0.012081632653061225,0.006,108408,81553,111928.93401015228
0.004,0.012081632653061225,0.009,105787,71866,111928.93401015228
0.004,0.012081632653061225,0.012,111331,64152,111928.93401015228
0.004,0.012081632653061225,0.015,111139,57984,111928.93401015228
0.004,0.012326530612244898,0.006,109845,80700,110250.00000000003
0.004,0.012326530612244898,0.009,107889,71182,110250.00000000003
0.004,0.012326530612244898,0.012,109790,63627,110250.00000000003
0.004,0.012326530612244898,0.015,109830,57435,110250.00000000003
0.004,0.01257142857142857,0.006,105243,79826,108620.68965517243
0.004,0.01257142857142857,0.009,107593,70394,108620.68965517243
0.004,0.01257142857142857,0.012,107965,63065,108620.68965517243
0.004,0.01257142857142857,0.015,105607,57102,108620.68965517243
0.004,0.012816326530612245,0.006,106793,78796,107038.8349514563
0.004,0.012816326530612245,0.009,106581,69761,107038.8349514563
0.004,0.012816326530612245,0.012,104920,62540,107038.8349514563
0.004,0.012816326530612245,0.015,106382,56651,107038.8349514563
0.004,0.013061224489795919,0.006,105229,78115,105502.39234449761
0.004,0.013061224489795919,0.009,105224,69157,105502.39234449761
0.004,0.013061224489795919,0.012,105010,61989,105502.39234449761
0.004,0.013061224489795919,0.015,105174,56182,105502.39234449761
0.004,0.013306122448979591,0.006,102626,77324,104009.43396226416
0.004,0.013306122448979591,0.009,101043,68522,104009.43396226416
0.004,0.013306122448979591,0.012,100243,61418,104009.43396226416
