charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.001,0.0034705882352941177,0.007999999999999998,61015,24254,67105.26315789473
0.001,0.0034705882352941177,0.008999999999999998,61017,22412,67105.26315789473
0.001,0.0034705882352941177,0.009999999999999998,64240,20841,67105.26315789473
0.001,0.0034705882352941177,0.011,62049,19523,67105.26315789473
0.001,0.0034705882352941177,0.011999999999999997,62404,18324,67105.26315789473
0.001,0.0034705882352941177,0.012999999999999998,65713,17107,67105.26315789473
0.001,0.0034705882352941177,0.013999999999999999,59908,16173,67105.26315789473
0.001,0.0034705882352941177,0.015,63690,15244,67105.26315789473
0.001,0.0038823529411764705,0.001,60614,51248,61445.78313253012
0.001,0.0038823529411764705,0.002,60034,43272,61445.78313253012
0.001,0.0038823529411764705,0.0029999999999999996,59134,38253,61445.78313253012
0.001,0.0038823529411764705,0.003999999999999999,59724,33988,61445.78313253012
0.001,0.0038823529411764705,0.004999999999999999,58671,30191,61445.78313253012
0.001,0.0038823529411764705,0.005999999999999999,58849,27434,61445.78313253012
0.001,0.0038823529411764705,0.006999999999999998,58563,25462,61445.78313253012
0.001,0.0038823529411764705,0.007999999999999998,58057,23349,61445.78313253012
0.001,0.0038823529411764705,0.008999999999999998,58587,21736,61445.78313253012
0.001,0.0038823529411764705,0.009999999999999998,57532,20216,61445.78313253012
0.001,0.0038823529411764705,0.011,58454,18972,61445.78313253012
0.001,0.0038823529411764705,0.011999999999999997,55686,17729,61445.78313253012
0.001,0.0038823529411764705,0.012999999999999998,58720,16793,61445.78313253012
0.001,0.0038823529411764705,0.013999999999999999,54699,15862,61445.78313253012
0.001,0.0038823529411764705,0.015,58096,14933,61445.78313253012
0.001,0.004294117647058823,0.001,56390,47975,56666.66666666668
0.001,0.004294117647058823,0.002,56113,41449,56666.66666666668
0.001,0.004294117647058823,0.0029999999999999996,55598,36309,56666.66666666668
0.001,0.004294117647058823,0.003999999999999999,54788,32265,56666.66666666668
0.001,0.004294117647058823,0.004999999999999999,55690,29307,56666.66666666668
0.001,0.004294117647058823,0.005999999999999999,54500,26842,56666.66666666668
0.001,0.004294117647058823,0.006999999999999998,54881,24563,56666.66666666668
0.001,0.004294117647058823,0.007999999999999998,56185,22718,56666.66666666668
0.001,0.004294117647058823,0.008999999999999998,54654,21115,56666.66666666668
0.001,0.004294117647058823,0.009999999999999998,55840,19743,56666.66666666668
0.001,0.004294117647058823,0.011,51850,18353,56666.66666666668
0.001,0.004294117647058823,0.011999999999999997,54353,17417,56666.66666666668
0.001,0.004294117647058823,0.012999999999999998,54839,16482,56666.66666666668
0.001,0.004294117647058823,0.013999999999999999,55004,15549,56666.66666666668
0.001,0.004294117647058823,0.015,54621,14641,56666.66666666668
0.001,0.004705882352941176,0.001,52016,44400,52577.319587628874
0.001,0.004705882352941176,0.002,51314,39265,52577.319587628874
0.001,0.004705882352941176,0.0029999999999999996,50940,34634,52577.319587628874
0.001,0.004705882352941176,0.003999999999999999,51636,30785,52577.319587628874
0.001,0.004705882352941176,0.004999999999999999,50319,28367,52577.319587628874
0.001,0.004705882352941176,0.005999999999999999,49697,25924,52577.319587628874
0.001,0.004705882352941176,0.006999999999999998,49986,23685,52577.319587628874
0.001,0.004705882352941176,0.007999999999999998,49767,22021,52577.319587628874
0.001,0.004705882352941176,0.008999999999999998,48964,20520,52577.319587628874
0.001,0.004705882352941176,0.009999999999999998,49659,19220,52577.319587628874
0.001,0.004705882352941176,0.011,47488,18039,52577.319587628874
0.001,0.004705882352941176,0.011999999999999997,50576,16798,52577.319587628874
0.001,0.004705882352941176,0.012999999999999998,50667,15871,52577.319587628874
0.001,0.004705882352941176,0.013999999999999999,49460,15239,52577.319587628874
0.001,0.004705882352941176,0.015,47783,14433,52577.319587628874
0.001,0.005117647058823529,0.001,48654,42055,49038.461538461546
0.001,0.005117647058823529,0.002,48112,37089,49038.461538461546
0.001,0.005117647058823529,0.0029999999999999996,48104,32859,49038.461538461546
0.001,0.005117647058823529,0.003999999999999999,47824,29433,49038.461538461546
0.001,0.005117647058823529,0.004999999999999999,47881,27308,49038.461538461546
0.001,0.005117647058823529,0.005999999999999999,47948,24974,49038.461538461546
0.001,0.005117647058823529,0.006999999999999998,46807,23024,49038.461538461546
0.001,0.005117647058823529,0.007999999999999998,46278,21389,49038.461538461546
0.001,0.005117647058823529,0.008999999999999998,46108,19906,49038.461538461546
0.001,0.005117647058823529,0.009999999999999998,46195,18660,49038.461538461546
0.001,0.005117647058823529,0.011,45683,17418,49038.461538461546
0.001,0.005117647058823529,0.011999999999999997,45602,16484,49038.461538461546
0.001,0.005117647058823529,0.012999999999999998,45805,15553,49038.461538461546
0.001,0.005117647058823529,0.013999999999999999,46209,14929,49038.461538461546
0.001,0.005117647058823529,0.015,47517,14392,49038.461538461546
0.001,0.005529411764705882,0.001,45125,40184,45945.945945945954
0.001,0.005529411764705882,0.002,44494,35406,45945.945945945954
0.001,0.005529411764705882,0.0029999999999999996,44244,31378,45945.945945945954
0.001,0.005529411764705882,0.003999999999999999,44153,28446,45945.945945945954
